filename,fake_pan,invalid,real_pan
jgjomjwsbcd1fx_jpeg.rf.a158e4fc54daea44ff32465a0d6b37aa.png,1,0,0
2YIZHE4AG8_jpg.rf.520bbdacce6d701c8081b7ad4c4744aa.png,1,0,0
3B9KHIY4MO_jpg.rf.014d380866228631dce4292f1cc4a6a2.png,1,0,0
iwiq2h9gcnkkrv_jpg.rf.3617ebb67170be1bc0b70bdfb6ffe76e.png,0,1,0
23037_jpg.rf.edfa79b789966e1412d6cc1e37616435.png,0,1,0
3DJ80VM6TB_jpg.rf.6061a6e6d6642b093eb51f4a87938e41.png,1,0,0
62383_jpg.rf.2ab46959080cfc193564276caa095634.png,0,1,0
3YC0U5XLTD_jpg.rf.8e43e038f24e5dc56b7e41e93ee9af61.png,1,0,0
235_society_reg_cert_jpeg.rf.0d2a0c76c856ff9f6dc3802f367560cd.png,0,1,0
6LS0UJIQ5Z_jpg.rf.b27c4ef2b6784d7a5411192607519642.png,1,0,0
7J9HNZLW1Y_jpg.rf.20fdc660c08da5db0a6a80d5db12cabd.png,1,0,0
64AXRTN2E3_jpg.rf.1cac320847d6d2ed0ae4820167ea9e9a.png,1,0,0
6BZI5VU7CL_jpg.rf.2228dec54777fd52ed4e83646755d278.png,1,0,0
9AKOVHIY54_jpg.rf.0c84af13b37888cafc346aa370dd6a9a.png,1,0,0
jgu6rvxftvz3bt_jpeg.rf.6feb6419a7247b9c1c8802a34ca8515c.png,1,0,0
30T5ONEB9C_jpg.rf.84484c129158abec5f4bb95682c376da.png,1,0,0
6OANT4QSY8_jpg.rf.4b7823de85f6648c3dc2ec13f79870f2.png,1,0,0
148_msme_jpeg.rf.065a44611aa4f9ffee5451ba8969b60d.png,0,1,0
285238_jpg.rf.120250d85fee3b4ffa608b23b99b584a.png,0,1,0
63349_jpg.rf.c0f794ff4d6e2c326581a5f263f10803.png,0,1,0
2CN9V7LS1P_jpg.rf.7aec25d9834c14acb0cbefc333d27486.png,1,0,0
5SARMPTE1J_jpg.rf.b4443706ac1db3f368a1e04e6fb0085b.png,1,0,0
37216_jpg.rf.9e79eadb7efc9cbc4d6b049cd636596b.png,0,1,0
8AO7NR3IXY_jpg.rf.f44a6bd3dda37748a284e755503cc83a.png,1,0,0
1BDHQVMNJ3_jpg.rf.01e3097a9b29c4ec92d9277d312fa4a7.png,1,0,0
0G8BMF1EKT_jpg.rf.98a03690af68d9a352c6913349798789.png,1,0,0
66442_jpg.rf.7fd894510caa2dff6ed8fb7a8f71cb3d.png,0,1,0
3Y1FOWTI5J_jpg.rf.5973b1ddc7abac81e4d46e5c60bec3ba.png,1,0,0
3UV4WPR29X_jpg.rf.0d2cd4d9cf36d40796690fd389ecec3c.png,1,0,0
185VOZGRMW_jpg.rf.7b5baddc38a624426674aaab097f1f35.png,1,0,0
15137_jpg.rf.90a446f9a30bbb9d28cd406abca554f0.png,0,1,0
2495PDZGI7_jpg.rf.502d4c63ea4ded2078c7bb79353cd4dd.png,1,0,0
8IW9ZPM2V4_jpg.rf.8d6583ded3e47c3d36a7e2921948a315.png,1,0,0
5159_jpg.rf.a0f0e86a7af8b76629d24605f15ce33f.png,0,1,0
27330_jpg.rf.3bfff99cc12b9840b1461f5055beb141.png,0,1,0
42537_jpg.rf.690396501ce37baa09b69726e8b95b0f.png,0,1,0
ipmukb0is1v3ij_jpg.rf.06b413668239fd5d06c9cf669426d211.png,0,1,0
pan_docshbuin8zzs3dzte_jpeg.rf.f4f99272d23cfa3dc75726451b4b28e0.png,1,0,0
12611_jpg.rf.73343a9a89e0f5837f1cc6279daae686.png,0,1,0
100959_jpg.rf.432260247a7c74c734e613daef2d9b03.png,0,1,0
dyjhviq2ffaswe_jpg.rf.0832c4859ed5b0579e3aec5b673368f7.png,0,1,0
1KBGNFT894_jpg.rf.cfd50925110d16d4c575722ce683bfad.png,1,0,0
8GMFBZEIW3_jpg.rf.2e737589d4d57a79d7af0d6b5c67412e.png,1,0,0
247636_jpg.rf.c6fa613a22cf3114659f65ce3f940c86.png,0,1,0
3MNQO28VFA_jpg.rf.16cd4e2333b19559412caae18c11a4c2.png,1,0,0
117218_jpg.rf.bb96ee1b1f72cf669a11fca44030d0c3.png,0,1,0
2030_jpg.rf.7fcf974067e2daea2e4c9e0cd1809f1d.png,0,1,0
100353_jpg.rf.8594020aa9a99ab0eb59504bdf473af0.png,0,1,0
104210_jpg.rf.eee7d3bc5e602785eb333c3c2e4d7fbf.png,0,1,0
629BGZKULF_jpg.rf.23186842550cf9bfcb64455396fb9b39.png,1,0,0
102624_jpg.rf.c594f24effb4989c5a18bcc64e2180ee.png,0,1,0
187193_jpg.rf.3a9bc8388a6aae3c1711d9dee8d9d639.png,0,1,0
39147_jpg.rf.db535f7e7d0fc4a32971cd1a3ea26e98.png,0,1,0
